RSSI,Occupancy
-63.13709619792381,1
-82.72010270297524,0
-98.63109630813673,0
-63.949121332638406,1
-54.11188123643439,1
-98.98157207503633,0
-51.23857045831947,1
-82.57705420271286,0
-97.18989834094536,0
-73.58864622497936,0
-97.09410193855155,0
-68.20003774279583,1
-82.63060132428487,0
-62.079540752586,1
-96.79951980226757,0
-55.033521851380236,1
-55.18899774115926,1
-63.68977082759072,1
-82.38425053058057,0
-89.4812402041874,0
-98.33459607042715,0
-88.73730367470233,0
-60.02464344240966,1
-52.27116340744682,1
-80.1609504583537,0
-64.26173987286774,1
-60.15994734626416,1
-50.544512367293265,1
-84.9444258612937,0
-94.71405951313322,0
-89.10011892658876,0
-79.70464405611608,0
-51.18056153624534,1
-92.1648893932238,0
-89.88576037872957,0
-96.30517631351799,0
-99.82627975992055,0
-73.628242131392,0
-52.69102603001318,1
-80.34555568393796,0
-91.75156747003683,0
-66.7507644179407,1
-60.91970988781183,1
-63.446621129121155,1
-72.42291648127332,0
-78.96233859847717,0
-69.91278879965326,1
-68.47122418955617,1
-98.82597399215655,0
-76.0712154784748,0
-74.45685670510741,0
-65.43557434988594,1
-97.98723676563301,0
-74.94226817158564,0
-98.2386501065637,0
-82.29815573406006,0
-71.08491637549042,0
-81.46997558016025,0
-92.86215472709465,0
-57.982732055602064,1
-95.61256767737811,0
-91.31899021787805,0
-65.96098921717791,1
-93.26404431181128,0
-89.79147612522537,0
-90.72399119300863,0
-63.82528583642486,1
-61.989833676000636,1
-78.30853081897209,0
-57.19460747561186,1
-60.506331759005406,1
-57.29005677278866,1
-64.68351456165118,1
-92.80809253710825,0
-98.85985158054069,0
-91.23705781031944,0
-62.78112592951716,1
-75.66295747846777,0
-94.81010254364566,0
-81.67576273918945,0
-80.38763184971147,0
-99.5968290395114,0
-53.413164576468645,1
-50.82179668458184,1
-71.55775030940323,0
-59.7884102960843,1
-90.18415749231505,0
-70.20429946612519,0
-64.78048774381745,1
-59.146366790036,1
-63.11084427219444,1
-59.39589537013395,1
-83.00993967163485,0
-74.91655509341534,0
-57.90485791260394,1
-59.68427657717444,1
-70.22367563344713,0
-84.6352653722913,0
-98.47745764376467,0
-79.22239191062762,0
-78.6337436131594,0
-86.85950589141233,0
-77.2519454610148,0
-59.7990302400519,1
-71.80946686327735,0
-52.69043672160827,1
-69.26335817471853,1
-93.98284568528669,0
-71.51608745238872,0
-62.682673650545986,1
-67.83742938131246,1
-62.72091261229538,1
-96.38148838932369,0
-58.77480288382292,1
-85.79705700541456,0
-84.74308172610569,0
-90.54185697519536,0
-99.49217001766577,0
-86.4395788223444,0
-87.76048339832671,0
-92.5298169180939,0
-95.63360628455834,0
-87.37391156427474,0
-53.817042218046446,1
-54.20811599246897,1
-66.49065790413194,1
-81.0840759975146,0
-70.6628947539503,0
-61.81069545687786,1
-91.30546949178999,0
-51.055685101056284,1
-51.33388816484783,1
-99.18394248193384,0
-60.22241895114771,1
-56.11595842317698,1
-85.2891823804388,0
-96.79963666434561,0
-74.61181404382614,0
-51.68284456143587,1
-97.27227272247852,0
-92.72223671276075,0
-55.11670833353978,1
-66.64745840557507,1
-53.41420165032027,1
-90.06182127556663,0
-54.09720294118555,1
-63.34847013555541,1
-53.550530563892096,1
-99.70697147592217,0
-82.32405321807724,0
-97.8571543695733,0
-69.90303799271437,1
-62.050208414252175,1
-62.0223000558592,1
-96.08957928514859,0
-59.11944841741119,1
-86.60706007133955,0
-87.23561356100846,0
-65.84438434471704,1
-59.2218827843762,1
-81.9789614946331,0
-73.69694585413146,0
-97.73489979406133,0
-53.91070727921978,1
-91.46747331228472,0
-93.89979097085879,0
-88.89587243726598,0
-81.87222246120508,0
-61.7495808848202,1
-68.11876323187865,1
-55.46602508346962,1
-54.363096725718364,1
-64.97197945418846,1
-62.20517330117977,1
-87.368635803975,0
-58.906067133919606,1
-84.23080830218186,0
-56.885960495546264,1
-66.05833378457548,1
-96.22262971375186,0
-64.03098396452012,1
-50.211031197045166,1
-56.60038777584643,1
-96.10686240095951,0
-50.93993055787806,1
-84.1431054853634,0
-89.838432811872,0
-62.86752899629543,1
-75.52878462390854,0
-83.01741893508424,0
-83.89184695693434,0
-67.61552890079872,1
-54.708975580984934,1
-52.389531583787715,1
-59.31364272031476,1
-87.86940775406232,0
-95.45547551025612,0
-76.01016001735209,0
-83.01788706690672,0
-69.56863076009927,1
-97.87216024546517,0
-88.90443836132523,0
-78.50532430131064,0
-91.6879680192509,0
-90.26142756884101,0
-91.34353562357626,0
-66.18958879731252,1
-78.29405020594977,0
-81.39853557889816,0
-93.0802613736473,0
-85.15106512242059,0
-95.28939131922964,0
-78.45664295871364,0
-53.630765148917156,1
-64.95243561229978,1
-80.09753346393816,0
-70.70274386109244,0
-57.82708870794316,1
-50.968661759032884,1
-85.9572449184776,0
-95.75691118347497,0
-68.62208346262805,1
-81.90528614632514,0
-91.66179728327718,0
-93.23753312256866,0
-62.925038115629455,1
-60.062138908315006,1
-87.95731198680087,0
-98.12142441542895,0
-77.1680224427046,0
-69.47828189924806,1
-55.55632134534421,1
-93.10054911425232,0
-94.63471575542039,0
-85.48917684652996,0
-88.49207599403147,0
-54.08143932506102,1
-89.6610503453417,0
-86.70047565047332,0
-84.57195581190861,0
-99.6620938786942,0
-68.51695518367109,1
-54.2031313583401,1
-59.30044914964353,1
-78.6924923024462,0
-50.1919335668012,1
-83.01543011138216,0
-96.80994529151324,0
-77.74712496251962,0
-51.50726029997022,1
-55.113380802851395,1
-94.26574976846018,0
-55.71853153898816,1
-54.25878123765243,1
-85.90535330760086,0
-58.786632479446595,1
-90.01036857991316,0
-74.51705511105101,0
-73.47497300721133,0
-80.51575697775493,0
-69.74440724878595,1
-66.78714139949456,1
-82.02043944087089,0
-53.71265771011988,1
-56.28874328909873,1
-56.71310128017317,1
-84.16625215876387,0
-71.99612127803522,0
-79.85613828899037,0
-52.6525127900085,1
-67.83855049957816,1
-89.50245973358642,0
-78.23095669887758,0
-77.76284563018437,0
