RSSI,Connected_Devices
-57.73377497376128,3
-40.9407333899729,4
-35.33838184185961,2
-72.61617537730726,0
-71.40635220743371,8
-34.79365076553651,3
-77.55932232975479,1
-65.22561685541568,3
-41.762808326330784,2
-82.0307823241778,3
-51.44671315094938,4
-64.32994334644538,3
-77.13634438327713,2
-36.46947435322358,2
-32.697101390689085,3
-60.09668475520945,1
-48.44973295153572,5
-56.73798862525295,8
-52.90488186488535,4
-58.99371720799974,0
-78.98493408340686,1
-45.84466930945837,6
-47.11471968972252,1
-40.165686745306225,7
-63.8224951873007,3
-86.89463707625772,4
-40.0414392213425,0
-30.370726263912722,3
-85.75427631958088,5
-48.961759875484255,5
-61.61257810979256,3
-58.30457779415604,2
-85.8589784909789,3
-50.50699339422727,2
-36.42306088338114,3
-76.89012647084105,2
-70.13199756354933,3
-87.87809329729832,4
-62.23145659931829,5
-72.98310466918433,3
-33.67044166579158,3
-67.7086373659966,4
-46.71464068065619,4
-31.25571005060379,1
-81.93223928330833,3
-35.61088485291602,3
-49.81808762659295,2
-70.39622323961926,1
-78.3130325156533,5
-37.51351420444392,3
-42.04105241003828,2
-43.93394172356133,3
-81.20597638872461,3
-50.213857592174676,1
-42.18804157234324,1
-62.255024318614645,3
-52.975646477582856,3
-44.51799646004539,3
-53.45117201610869,2
-45.15388223636292,3
-86.17300323440364,3
-56.221739768505756,3
-78.95572034115915,6
-32.12862619468069,1
-73.02433643762284,3
-65.40141025677107,2
-61.917305101130665,4
-89.98136527415977,4
-51.708836510172404,4
-68.73718334375998,3
-66.03227704305874,2
-69.49344389404118,0
-41.52467788272614,3
-31.60985903959655,7
-64.38802038488775,3
-45.352830343086474,3
-69.94939500434756,2
-55.96337237031287,3
-73.30111653170377,6
-52.22793231881974,1
-45.27867668180307,2
-30.107942983098106,3
-41.802991376131075,3
-54.87404944685313,2
-70.0330153436717,0
-80.85208767453138,2
-77.49486421172465,2
-47.52870430080208,5
-59.068455567446804,5
-46.77258110572088,2
-72.55205885460046,2
-38.810299136155685,4
-48.59590361209014,3
-58.47112332176299,1
-40.44972920113298,8
-45.8637981445092,3
-88.25733054467149,2
-49.36091821228963,4
-65.83663360026982,4
-31.00460643505116,3
-36.630065993923495,3
-55.03982963204501,5
-88.62166680902283,5
-45.40173357514788,1
-46.70320731388348,5
-64.51156899275637,3
-55.53687227097111,5
-64.30688071361297,1
-78.56714509692493,3
-86.49016685935474,2
-65.05167531933519,1
-86.06866854009311,0
-40.441378781909286,3
-88.99251540472436,3
-60.15902938188479,6
-33.56035481385183,5
-52.51555411449462,3
-42.91489651241632,2
-59.32418206424545,3
-54.397325684207566,5
-47.91388707325788,5
-32.505731907638975,4
-88.92086451410664,4
-41.7566237239043,2
-62.33201885468657,2
-72.54727718739912,5
-64.52278219301273,2
-79.97084140884387,0
-83.0591026674995,4
-34.00669226715392,1
-37.281935814251895,1
-56.641006199105945,4
-55.39825538423599,1
-57.226990045898056,3
-75.92212420822216,4
-47.33149036205271,2
-70.91444027946072,3
-34.71915507512241,4
-70.92164726633528,3
-34.06577029491107,1
-55.41334772798234,1
-44.644808493366604,1
-71.25511962057533,5
-60.94737882006201,4
-30.156830079845093,5
-57.23253954649282,3
-30.099303562328146,4
-72.63261621787053,2
-51.53399839375916,2
-53.05817370461306,3
-65.05427703774447,4
-89.2909818533786,1
-74.03340958527889,3
-79.03578795668638,3
-34.31564694967046,2
-72.67688729672594,1
-39.189355964803504,3
-75.80373047464816,7
-41.19239133206559,1
-38.68495848363183,5
-49.0227519408793,3
-88.93635405793313,0
-84.47312882866967,3
-33.92573256140882,2
-85.46892797373621,1
-84.44373852105691,1
-44.46457565676837,1
-52.02288900767706,3
-70.52554307640855,4
-51.20092498045941,3
-32.93167247715556,5
-57.645922529298225,2
-59.74299733124883,6
-55.78737096323445,3
-72.56266113636806,3
-73.20052413137188,4
-73.50334184684466,5
-66.83112673282041,4
-33.59698935193139,5
-80.69096498594125,2
-70.42964216331703,3
-53.594445620119316,5
-52.10080579708809,0
-47.2781043631615,1
-47.41096621442372,4
-53.45213986055305,3
-40.20458280399963,2
-70.31552821222606,3
-59.99788310146211,3
-52.31919350654767,4
-68.02631130810714,0
-74.78750175800216,4
-76.5891933801969,2
-30.247617334762566,1
-57.2629818801935,3
-71.56210829566551,5
-76.76446560364937,3
-34.913834193893045,4
-44.38733637823071,2
-60.58684773839176,1
-79.33662011105753,2
-43.300915155228736,7
-48.82889025479649,8
-77.05173012613596,5
-40.69258242932277,4
-62.84910444903598,2
-48.737263976537804,7
-38.39601710312369,3
-51.699122346753526,5
-54.824782050264574,1
-66.3790014072542,3
-70.29636230211206,5
-48.16246697491573,3
-89.07291258529729,2
-64.1377858079825,1
-50.11260728889629,1
-32.29663581622975,3
-55.279333423991446,4
-46.784504898785016,8
-65.87331636701217,2
-49.33977803740801,4
-76.89813814914041,7
-60.59519326239918,3
-86.46082101530685,3
-35.75748875632815,5
-49.58538006036791,2
-30.026633546051585,5
-76.08849518657622,3
-38.15656240081347,3
-67.85401953016475,3
-39.50951202669607,3
-59.352345576861445,4
-55.84073936116546,2
-60.97542405657853,2
-40.154792264747165,1
-84.84653682336648,5
-84.13358637624967,6
-35.553690328687416,5
-82.32029178758306,1
-64.5875641790984,2
-46.9115852171771,7
-85.91624721654067,5
-55.46759751278261,1
-50.4956560148972,4
-34.132323708820095,1
-63.82822315477967,3
-71.97654995587179,1
-37.03027528335538,2
-58.855907873502055,3
-56.999050653125636,1
-40.77784462343977,3
-40.23339301384468,4
